price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url
-90.95%,14696865-14529174,428.0,2024-10-14,4728.0,2024-10-14,Brown Suede Prada Buckle Large Handbag,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/
-89.93%,14687555-14519864,497.0,2024-10-14,4937.0,2024-10-14,Printed Leather Mini Galleria Handbag,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/
-90.00%,14679027-14511336,219.0,2024-10-14,2189.0,2024-10-14,Light Grey Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/light-grey-leather-arqua-handbag/14511336/14679027/prada/
-90.05%,14679026-14511335,315.0,2024-10-14,3165.0,2024-10-14,Brown Suede Large Shoulder Bag,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/
-89.16%,14627108-14459417,377.0,2024-10-14,3477.0,2024-10-14,Prada Buckle Small Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/
-75.34%,14627105-14459414,982.0,2024-10-14,3982.0,2024-10-14,Prada Buckle Leather Bag,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/
