product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14558494-14390803,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,999.0,2024-11-07,999.0,2024-11-07,2024-11-07,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/,ITALIST
14557360-14389669,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,999.0,2024-11-07,999.0,2024-11-07,2024-11-07,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14389669/14557360/prada/,ITALIST
