Scraped: 2024-26-10 
category: PRADA-BAGS 
product_id,brand,product_name,curr_price,listing_url,source
---------------------- 
14699240-14531549,PRADA,BLACK RE-NYLON BEAUTY CASE,421,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/BLACK-RE-NYLON-BEAUTY-CASE/14531549/14699240/PRADA/,ITALIST
14696885-14529194,PRADA,SHOULDER BAG,3955,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14529194/14696885/PRADA/,ITALIST
14696866-14529175,PRADA,BLACK LEATHER CLEO SHOULDER BAG,3751,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CLEO-SHOULDER-BAG/14529175/14696866/PRADA/,ITALIST
14696865-14529174,PRADA,BROWN SUEDE PRADA BUCKLE LARGE HANDBAG,4728,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-PRADA-BUCKLE-LARGE-HANDBAG/14529174/14696865/PRADA/,ITALIST
14687555-14519864,PRADA,PRINTED LEATHER MINI GALLERIA HANDBAG,4337,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRINTED-LEATHER-MINI-GALLERIA-HANDBAG/14519864/14687555/PRADA/,ITALIST
14687437-14519746,PRADA,SHOULDER BAG,1174,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAG/14519746/14687437/PRADA/,ITALIST
14679027-14511336,PRADA,LIGHT GREY LEATHER ARQU̬ HANDBAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LIGHT-GREY-LEATHER-ARQUA-HANDBAG/14511336/14679027/PRADA/,ITALIST
14679026-14511335,PRADA,BROWN SUEDE LARGE SHOULDER BAG,3165,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-LARGE-SHOULDER-BAG/14511335/14679026/PRADA/,ITALIST
14670757-14503066,PRADA,BLACK NYLON SMALL BACKPACK,1749,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BLACK-NYLON-SMALL-BACKPACK/14503066/14670757/PRADA/,ITALIST
14664354-14496663,PRADA,CARAMEL LEATHER RE-EDITION 1978 BUCKET BAG,1896,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-RE-EDITION-1978-BUCKET-BAG/14496663/14664354/PRADA/,ITALIST
14664353-14496662,PRADA,BLACK NAPPA LEATHER MINI BUCKET BAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-NAPPA-LEATHER-MINI-BUCKET-BAG/14496662/14664353/PRADA/,ITALIST
14664352-14496661,PRADA,BLACK LEATHER BUCKET BAG,3165,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-BUCKET-BAG/14496661/14664352/PRADA/,ITALIST
14650505-14482814,PRADA,LOGO MEDIUM TOTE BAG,3361,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LOGO-MEDIUM-TOTE-BAG/14482814/14650505/PRADA/,ITALIST
14650492-14482801,PRADA,CARAMEL LEATHER CROSSBODY BAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-CROSSBODY-BAG/14482801/14650492/PRADA/,ITALIST
