price_change_percent_signed,product_id,product_name,type,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url,source,paths
+109.31%,14602957-14435266,TOTE,PRODUCT_PRICE_CHANGE,2091.0,2024-11-27,999.0,2024-11-27,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435266/14602957/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+236.44%,14602956-14435265,TOTE,PRODUCT_PRICE_CHANGE,3361.0,2024-11-27,999.0,2024-11-27,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435265/14602956/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+89.79%,14566061-14398370,TOTE,PRODUCT_PRICE_CHANGE,1896.0,2024-11-27,999.0,2024-11-27,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14398370/14566061/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
