price_change_percent_signed,product_id,product_name,type,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url,source,paths
-57.86%,14699240-14531549,BLACK RE-NYLON BEAUTY CASE,PRODUCT_PRICE_CHANGE,421.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/BLACK-RE-NYLON-BEAUTY-CASE/14531549/14699240/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+295.90%,14696885-14529194,SHOULDER BAG,PRODUCT_PRICE_CHANGE,3955.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/SHOULDER-BAG/14529194/14696885/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+275.48%,14696866-14529175,BLACK LEATHER CLEO SHOULDER BAG,PRODUCT_PRICE_CHANGE,3751.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CLEO-SHOULDER-BAG/14529175/14696866/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+373.27%,14696865-14529174,BROWN SUEDE PRADA BUCKLE LARGE HANDBAG,PRODUCT_PRICE_CHANGE,4728.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-PRADA-BUCKLE-LARGE-HANDBAG/14529174/14696865/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+334.13%,14687555-14519864,PRINTED LEATHER MINI GALLERIA HANDBAG,PRODUCT_PRICE_CHANGE,4337.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PRINTED-LEATHER-MINI-GALLERIA-HANDBAG/14519864/14687555/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+17.52%,14687437-14519746,SHOULDER BAG,PRODUCT_PRICE_CHANGE,1174.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAG/14519746/14687437/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+119.12%,14679027-14511336,LIGHT GREY LEATHER ARQU̬ HANDBAG,PRODUCT_PRICE_CHANGE,2189.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LIGHT-GREY-LEATHER-ARQUA-HANDBAG/14511336/14679027/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+216.82%,14679026-14511335,BROWN SUEDE LARGE SHOULDER BAG,PRODUCT_PRICE_CHANGE,3165.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BROWN-SUEDE-LARGE-SHOULDER-BAG/14511335/14679026/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+75.08%,14670757-14503066,BLACK NYLON SMALL BACKPACK,PRODUCT_PRICE_CHANGE,1749.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BLACK-NYLON-SMALL-BACKPACK/14503066/14670757/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
+89.79%,14664354-14496663,CARAMEL LEATHER RE-EDITION 1978 BUCKET BAG,PRODUCT_PRICE_CHANGE,1896.0,2024-11-30,999.0,2024-11-30,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/CARAMEL-LEATHER-RE-EDITION-1978-BUCKET-BAG/14496663/14664354/PRADA/,ITALIST,"{'raw_scrape_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/raw_scrapes', 'filtered_data_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/SCRAPE_FILE_OUTPUT/filtered_data', 'reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports', 'sold_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/sold_report_output', 'price_reports_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/reports/price_report_output', 'archive_dir': '/home/ubuntu/Documents/Projects/TDD-scraper/shared_data/archives'}"
