price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
-89.15%,14558494-14390803,280.0,2024-10-25,2580.0,2024-10-23,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14390803/14558494/PRADA/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/filtered/FILTERED_PRADA_2024-25-10_BAGS_962a1246/FILTERED_ITALIST_PRADA_2024-25-10_BAGS_962a1246.csv
+19.38%,14557360-14389669,3080.0,2024-10-25,2580.0,2024-10-23,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14389669/14557360/PRADA/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/filtered/FILTERED_PRADA_2024-25-10_BAGS_962a1246/FILTERED_ITALIST_PRADA_2024-25-10_BAGS_962a1246.csv
-89.15%,14558494-14390803,280.0,2024-10-25,2580.0,2024-10-23,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14390803/14558494/PRADA/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/filtered/FILTERED_PRADA_2024-25-10_BAGS_962a1246/FILTERED_ITALIST_PRADA_2024-25-10_BAGS_962a1246.csv
+19.38%,14557360-14389669,3080.0,2024-10-25,2580.0,2024-10-23,EMBROIDERED FABRIC SMALL SYMBOLE SHOPPING BAG,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-SMALL-SYMBOLE-SHOPPING-BAG/14389669/14557360/PRADA/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/filtered/FILTERED_PRADA_2024-25-10_BAGS_962a1246/FILTERED_ITALIST_PRADA_2024-25-10_BAGS_962a1246.csv
