product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14625131-14457440,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/,ITALIST
14625130-14457439,999.0,2024-10-17,2091.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/,ITALIST
14780324-14612633,999.0,2024-10-23,1896.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-re-edition-1978-bucket-bag/14612633/14780324/prada/,ITALIST
14565348-14397657,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-shoulder-bag/14397657/14565348/prada/,ITALIST
14565341-14397650,999.0,2024-10-23,2970.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397650/14565341/prada/,ITALIST
14563340-14395649,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-handbag/14395649/14563340/prada/,ITALIST
14385666-14217975,999.0,2024-10-23,2140.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-canvas-medium-re-edition-1978-handbag/14217975/14385666/prada/,ITALIST
14385665-14217974,999.0,2024-10-23,2238.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-nylon-and-leather-re-edition-1978-handbag/14217974/14385665/prada/,ITALIST
14625132-14457441,999.0,2024-10-17,2775.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,ITALIST
14696866-14529175,999.0,2024-10-17,3751.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14529175/14696866/prada/,ITALIST
14696865-14529174,999.0,2024-10-17,4728.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/,ITALIST
14650505-14482814,999.0,2024-10-17,3361.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14482814/14650505/prada/,ITALIST
14455300-14287609,999.0,2024-10-17,2457.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/re-edition-1978-re-nylon-and-saffiano-large-black-top-case/14287609/14455300/prada/,ITALIST
14222222-12242342,999.0,2024-10-17,421.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,ITALIST
14650492-14482801,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14482801/14650492/prada/,ITALIST
14445396-14277705,999.0,2024-10-17,2384.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14277705/14445396/prada/,ITALIST
14645226-14477535,999.0,2024-10-17,2537.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/,ITALIST
14853742-14686051,999.0,2024-10-23,1603.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/raffia-tote-bag/14686051/14853742/prada/,ITALIST
14847766-14680075,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14680075/14847766/prada/,ITALIST
14845898-14678207,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/two-tone-wicker-and-canvas-handbag/14678207/14845898/prada/,ITALIST
14843264-14675573,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/backpacks/black-nylon-mini-backpack/14675573/14843264/prada/,ITALIST
14847204-14679513,999.0,2024-10-23,2580.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14679513/14847204/prada/,ITALIST
14566061-14398370,999.0,2024-10-17,1896.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/tote/14398370/14566061/prada/,ITALIST
14699240-14531549,999.0,2024-10-17,421.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,ITALIST
14747502-14579811,999.0,2024-10-23,2264.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/prada-arque-leather-shoulder-bag/14579811/14747502/prada/,ITALIST
14847013-14679322,999.0,2024-10-23,1408.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-straw-handbag/14679322/14847013/prada/,ITALIST
14568707-14401016,999.0,2024-10-17,4986.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/belted-handbag/14401016/14568707/prada/,ITALIST
14565340-14397649,999.0,2024-10-17,2970.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/,ITALIST
14565339-14397648,999.0,2024-10-17,2775.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/,ITALIST
14565338-14397647,999.0,2024-10-17,1945.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14397647/14565338/prada/,ITALIST
14544713-14377022,999.0,2024-10-17,4097.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/caramel-leather-medium-prada-buckle-handbag/14377022/14544713/prada/,ITALIST
14628287-14460596,999.0,2024-10-17,2775.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/,ITALIST
14517368-14349677,999.0,2024-10-17,2580.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/,ITALIST
14517365-14349674,999.0,2024-10-17,2872.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/,ITALIST
14625129-14457438,999.0,2024-10-17,2189.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,ITALIST
14573761-14406070,999.0,2024-10-17,2775.0,2024-10-17,2024-10-17,True,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14406070/14573761/prada/,ITALIST
