product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14602956-14435265,TOTE,999.0,2024-11-11,999.0,2024-11-11,2024-11-11,True,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14435265/14602956/PRADA/,ITALIST
14566061-14398370,TOTE,999.0,2024-11-11,999.0,2024-11-11,2024-11-11,True,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14398370/14566061/PRADA/,ITALIST
14530345-14362654,TOTE,999.0,2024-11-11,999.0,2024-11-11,2024-11-11,True,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TOTE/14362654/14530345/PRADA/,ITALIST
