price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url
-91.29%,14696885-14529194,310.0,2024-09-26,3560.0,2024-09-26,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14529194/14696885/prada/
-90.01%,14696866-14529175,389.7,2024-09-26,3899.7,2024-09-26,Black Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14529175/14696866/prada/
-88.14%,14597352-14429661,498.0,2024-09-26,4198.0,2024-09-26,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/
-90.11%,14565340-14397649,291.0,2024-09-26,2941.0,2024-09-26,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/
-90.84%,14558494-14390803,234.0,2024-09-26,2554.0,2024-09-26,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag
