price_change_percent_signed,product_name,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,listing_url
+11.10%,Shoulder Bag,14696885-14529194,3955.0,2024-09-24,3560.0,2024-09-26,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14529194/14696885/prada/
+11.11%,Brown Suede Prada Buckle Large Handbag,14696865-14529174,4681.0,2024-09-24,4212.9,2024-09-26,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/
+11.11%,Shoulder Bag,14687437-14519746,1174.0,2024-09-24,1056.6,2024-09-26,https://www.italist.com/us/women/bags/shoulder-bag/14519746/14687437/prada/
-89.99%,Caramel Leather Crossbody Bag,14572513-14404822,217.0,2024-09-24,2167.0,2024-09-26,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/
-95.93%,Black Leather Crossbody Bag,14551812-14384121,89.0,2024-09-24,2189.0,2024-09-25,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/
-90.03%,Black Leather Crossbody Bag,14533201-14365510,216.0,2024-09-24,2167.0,2024-09-25,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/
-88.14%,Caramel Leather Shopping Bag,14628464-14460773,498.0,2024-09-24,4198.0,2024-09-25,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14460773/14628464/prada/
