price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url
+1175.81%,14696885-14529194,3955.0,2024-10-05,310.0,2024-09-26,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14529194/14696885/prada/
+853.04%,14696866-14529175,3714.0,2024-10-05,389.7,2024-09-26,Black Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-cleo-shoulder-bag/14529175/14696866/prada/
+11.11%,14696865-14529174,4681.0,2024-10-05,4212.9,2024-09-26,Brown Suede Prada Buckle Large Handbag,https://www.italist.com/us/women/bags/totes/brown-suede-prada-buckle-large-handbag/14529174/14696865/prada/
+11.11%,14687437-14519746,1174.0,2024-10-05,1056.6,2024-09-26,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bag/14519746/14687437/prada/
+742.97%,14597352-14429661,4198.0,2024-10-05,498.0,2024-09-26,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/
+910.65%,14565340-14397649,2941.0,2024-10-05,291.0,2024-09-26,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/
+991.45%,14558494-14390803,2554.0,2024-10-05,234.0,2024-09-26,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/
