product_id,product_name,curr_price,curr_scrape_date,prev_price,prev_scrape_date,sold_date,sold,url,source
14699240-14531549,BLACK RE-NYLON BEAUTY CASE,999.0,2024-10-23,421.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,ITALIST
14679026-14511335,BROWN SUEDE LARGE SHOULDER BAG,999.0,2024-10-23,3165.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/brown-suede-large-shoulder-bag/14511335/14679026/prada/,ITALIST
14670757-14503066,BLACK NYLON SMALL BACKPACK,999.0,2024-10-23,1749.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/backpacks/black-nylon-small-backpack/14503066/14670757/prada/,ITALIST
14664354-14496663,CARAMEL LEATHER RE-EDITION 1978 BUCKET BAG,999.0,2024-10-23,1896.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/,ITALIST
14664353-14496662,BLACK NAPPA LEATHER MINI BUCKET BAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/,ITALIST
14664352-14496661,BLACK LEATHER BUCKET BAG,999.0,2024-10-23,3165.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14496661/14664352/prada/,ITALIST
14650505-14482814,LOGO MEDIUM TOTE BAG,999.0,2024-10-23,3361.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14482814/14650505/prada/,ITALIST
14650492-14482801,CARAMEL LEATHER CROSSBODY BAG,999.0,2024-10-23,2189.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14482801/14650492/prada/,ITALIST
14645226-14477535,SHOULDER BAG,999.0,2024-10-23,2537.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/,ITALIST
14628287-14460596,LIGHT PINK LEATHER CROSSBODY BAG,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/,ITALIST
14625136-14457445,CARAMEL LEATHER CROSSBODY BAG,999.0,2024-10-23,2091.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/,ITALIST
14625132-14457441,GREY LEATHER CROSSBODY BAG,999.0,2024-10-23,2775.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,ITALIST
14625131-14457440,CARAMEL LEATHER MINI PRADA RE-EDITION SHOULDER BAG,999.0,2024-10-23,2091.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/,ITALIST
14625130-14457439,BLACK LEATHER MINI PRADA RE-EDITION SHOULDER BAG,999.0,2024-10-23,2091.0,2024-10-23,2024-10-23,True,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/,ITALIST
