price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+89.79%,14664354-14496663,1896.0,2024-10-16,999.0,2024-10-16,Caramel Leather Re-edition 1978 Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-re-edition-1978-bucket-bag/14496663/14664354/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14664353-14496662,2189.0,2024-10-16,999.0,2024-10-16,Black Nappa Leather Mini Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-nappa-leather-mini-bucket-bag/14496662/14664353/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+216.82%,14664352-14496661,3165.0,2024-10-16,999.0,2024-10-16,Black Leather Bucket Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-bucket-bag/14496661/14664352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+236.44%,14650505-14482814,3361.0,2024-10-16,999.0,2024-10-16,Logo Medium Tote Bag,https://www.italist.com/us/women/bags/totes/logo-medium-tote-bag/14482814/14650505/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14650492-14482801,2189.0,2024-10-16,999.0,2024-10-16,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14482801/14650492/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+153.95%,14645226-14477535,2537.0,2024-10-16,999.0,2024-10-16,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14477535/14645226/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+177.78%,14628287-14460596,2775.0,2024-10-16,999.0,2024-10-16,Light Pink Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/light-pink-leather-crossbody-bag/14460596/14628287/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14625136-14457445,2091.0,2024-10-16,999.0,2024-10-16,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14457445/14625136/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+177.78%,14625132-14457441,2775.0,2024-10-16,999.0,2024-10-16,Grey Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14625131-14457440,2091.0,2024-10-16,999.0,2024-10-16,Caramel Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-mini-prada-re-edition-shoulder-bag/14457440/14625131/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14625130-14457439,2091.0,2024-10-16,999.0,2024-10-16,Black Leather Mini Prada Re-edition Shoulder Bag,https://www.italist.com/us/women/bags/totes/black-leather-mini-prada-re-edition-shoulder-bag/14457439/14625130/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14625129-14457438,2189.0,2024-10-16,999.0,2024-10-16,Pastel Yellow Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+324.42%,14597352-14429661,4240.0,2024-10-16,999.0,2024-10-16,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+177.78%,14573761-14406070,2775.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14406070/14573761/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14572513-14404822,2189.0,2024-10-16,999.0,2024-10-16,Caramel Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/caramel-leather-crossbody-bag/14404822/14572513/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+295.90%,14568709-14401018,3955.0,2024-10-16,999.0,2024-10-16,Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/shoulder-bag/14401018/14568709/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+399.10%,14568707-14401016,4986.0,2024-10-16,999.0,2024-10-16,Belted Handbag,https://www.italist.com/us/women/bags/belted-handbag/14401016/14568707/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+246.15%,14565352-14397661,3458.0,2024-10-16,999.0,2024-10-16,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397661/14565352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+285.29%,14565351-14397660,3849.0,2024-10-16,999.0,2024-10-16,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14565350-14397659,2091.0,2024-10-16,999.0,2024-10-16,Raffia Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/raffia-crossbody-bag/14397659/14565350/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+109.31%,14565349-14397658,2091.0,2024-10-16,999.0,2024-10-16,Black Raffia Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-raffia-crossbody-bag/14397658/14565349/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+197.30%,14565340-14397649,2970.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+177.78%,14565339-14397648,2775.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+94.69%,14565338-14397647,1945.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Micro Symbole Handbag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-micro-symbole-handbag/14397647/14565338/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+158.26%,14565337-14397646,2580.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+158.26%,14558494-14390803,2580.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14390803/14558494/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+158.26%,14557360-14389669,2580.0,2024-10-16,999.0,2024-10-16,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14389669/14557360/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+151.35%,14554718-14387027,2511.0,2024-10-16,999.0,2024-10-16,Cappuccino Leather Shoulder Bag,https://www.italist.com/us/women/bags/shoulder-bags/cappuccino-leather-shoulder-bag/14387027/14554718/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14551812-14384121,2189.0,2024-10-16,999.0,2024-10-16,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/totes/black-leather-crossbody-bag/14384121/14551812/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+119.12%,14533201-14365510,2189.0,2024-10-16,999.0,2024-10-16,Black Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+70.27%,14517370-14349679,1701.0,2024-10-16,999.0,2024-10-16,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
+158.26%,14517368-14349677,2580.0,2024-10-16,999.0,2024-10-16,White Leather Cleo Shoulder Bag,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-16-10_bags_3a413815/RAW_italist_prada_2024-16-10_bags_3a413815.csv
