Scraped: 2024-14-10 
category: prada-bags 
product_id,brand,product_name,curr_price,listing_url
14533201-14365510,Prada,Black Leather Crossbody Bag,2189,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14365510/14533201/prada/
14517370-14349679,Prada,Midnight Blue Re-nylon Large Re-edition 1978 Shopping Bag,1701,https://www.italist.com/us/women/bags/totes/midnight-blue-re-nylon-large-re-edition-1978-shopping-bag/14349679/14517370/prada/
14517368-14349677,Prada,White Leather Cleo Shoulder Bag,2580,https://www.italist.com/us/women/bags/totes/white-leather-cleo-shoulder-bag/14349677/14517368/prada/
14517365-14349674,Prada,Sand Leather Small Panier Handbag,2872,https://www.italist.com/us/women/bags/totes/sand-leather-small-panier-handbag/14349674/14517365/prada/
14463824-14296133,Prada,Black Leather Crossbody Bag,2091,https://www.italist.com/us/women/bags/shoulder-bags/black-leather-crossbody-bag/14296133/14463824/prada/
14455300-14287609,Prada,Re-edition 1978 Re-nylon And Saffiano Large Black Top Case,2457,https://www.italist.com/us/women/bags/luggage/re-edition-1978-re-nylon-and-saffiano-large-black-top-case/14287609/14455300/prada/
14445396-14277705,Prada,Light Pink Leather Shoulder Bag,2384,https://www.italist.com/us/women/bags/totes/light-pink-leather-shoulder-bag/14277705/14445396/prada/
14385668-14217977,Prada,Mud Re-nylon Large Re-edition 1978 Shopping Bag,1701,https://www.italist.com/us/women/bags/totes/mud-re-nylon-large-re-edition-1978-shopping-bag/14217977/14385668/prada/
14633205-14465514,Prada,Leather Crossbody Medium Bag,2163,https://www.italist.com/us/women/bags/shoulder-bags/leather-crossbody-medium-bag/14465514/14633205/prada/
14627108-14459417,Prada,Prada Buckle Small Leather Bag,3477,https://www.italist.com/us/women/bags/totes/prada-buckle-small-leather-bag/14459417/14627108/prada/
14627105-14459414,Prada,Prada Buckle Leather Bag,3982,https://www.italist.com/us/women/bags/totes/prada-buckle-leather-bag/14459414/14627105/prada/
14602957-14435266,Prada,Tote,2091,https://www.italist.com/us/women/bags/totes/tote/14435266/14602957/prada/
